DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1109/icws55610.2022.00065,,,Log2MS: a framework for automated refactoring monolith into microservices using execution logs,"Service models and modelling are vital in monolith-to-microservice architecture (MSA) migration of legacy systems. Prior work focuses on service identification, whereas few efforts have been investigating microservice models and modelling. It remains an immature field of Model-Driven Development (MDD) of MSA due to it lack modelling methods and tools for monolith-to-MSA migration. We present Log2MS, an MDD framework for automated transforming legacy monolithic architecture into MSA using execution logs only. We define microservice and microservice sequence diagrams to support monolith-to-MSA structural and behavioural modelling; we present a source-code free monolith-to-MSA approach and a prototypical tool which support automatically microservices identification and MSA models generation; we developed a graphical editor to represent the generated MSA models for further interactively modelling. Log2MS is evaluated being of applicability, robustness, and effectiveness by comparative experiments with 2 representative approaches and applying to 4 projects.","Bo Liu,Jingliu Xiong,Qiurong Ren,Shmuel Tyszberowicz,Zheng Yang",2022 IEEE International Conference on Web Services (ICWS),2022
10.1145/3564982.3564995,,,Using Database Schemas of Legacy Applications for Microservices Identification: A Mapping Study,"The extraction of software components or services from a legacy system, is a very active field of research especially after the introduction of the microservices architectures. There are many different proposed approaches to solve this complex problem with the help of static and dynamic analysis of the source code, domain driven business dataflow diagrams etc. When we are dealing with a legacy system (e.g., a system with monolithic architecture) the most common asset that we inherit, aside from the application's code itself, is the database schema and its data. The source code isn't always available for analysis and the dataflow diagrams although helpful to some extent, they do not provide any reuse of the system's source code. The purpose of this research is to systematically identify primary studies that are using the database artefacts for microservice extraction, analyse the type of the artefacts and the degree they are used, and lastly investigate if the proposed methods support automation. We will then try to verbally analyse their viability in a real world scenario based on our many year experience working with legacy systems. In the context of this research, we conducted a systematic mapping study regarding the usage of database artefacts for the identification of components or services. This article presents the results of this study. Our future research goal is to use the database schema, state of data, dependencies, foreign keys etc., for identifying discrete business units within the legacy system database. Each such unit will have loose coupling with other units and be highly cohesive making it a potential microservice.","Antonios Mparmpoutis,George Kakarontzas",International Conference on Advancements in Computational Sciences,2022
10.1016/j.sysarc.2021.102200,,,A multi-model based microservices identification approach,"Abstract   Microservices are hailed for their capabilities to tackle the challenge of breaking monolithic business systems down into small, cohesive, and loosely-coupled services. Indeed, these systems are neither easy to maintain nor to replace undermining organizations’ efforts to cope with user’s changing needs and governments’ complex regulations. Microservices constitute an architectural style for developing a new generation of systems as a suite of services that, although they are separate, engage in collaborative execution and communication sessions. However, microservices success depends, among many other things, on the existence of an approach that would automatically identify the necessary microservices according to organizations’ requirements. In this paper, we present such an approach and demonstrate its technical doability in the context of a case study, Bicing, for renting bikes. Some salient features of this approach are business processes as input for the identification needs, threemodels known as control, data, and semantic to capture dependencies between these processes’ activities, and, finally, a collaborative clustering technique that recommends potential microservices. Conducted experiments in the context of Bicing clearly indicate that our approach outperforms similar ones for microservices identification and reinforce the important role of business processes in this identification. The approach constitutes a major milestone towards a better architectural style for future microservices systems.","Mohamed I. Daoud,Asmae El Mezouari,Noura Faci,Djamal Benslimane,Zakaria Maamar,Aziz El Fazziki",Journal of Systems Architecture,2021
10.1007/978-3-030-64846-6_9,,,A Qualitative Literature Review on Microservices Identification Approaches,"Microservices has become a widely used and discussed architectural style for designing modern applications due to advantages like granular scalability and maintainability. However, it is still a complex task decomposing an application into microservices. Software architects often design architectures manually. In this paper we give a state-of-the-art overview of current approaches to identifying microservices. Therefore we use a literature review and classify the content based on the software development process.","Christoph Schröer,Christoph Schröer,Felix Kruse,Jorge Marx Gómez",Symposium and Summer School on Service-Oriented Computing,2020
10.1145/3412841.3442016,,,Identification of microservices from monolithic applications through topic modelling,"National Funds through the Portuguese
funding agency, FCT - Fundacao para a Ciencia e a Tecnologia
within project UIDB/50014/2020","Miguel A. Brito,Jácome Cunha,João Saraiva",ACM Symposium on Applied Computing,2021
10.1109/access.2021.3106342,,,Microservices Backlog–A Genetic Programming Technique for Identification and Evaluation of Microservices From User Stories,"The microservice granularity directly affects the quality attributes and usage of computational resources of the system, determining optimal microservice granularity is an open research topic. Microservices granularity is defined by the number of operations exposed by the microservice, the number of microservices that compose the whole application, and its complexity and dependencies. This paper describes “Microservice Backlog (MB)”, a semiautomatic model for defining and evaluating the granularity of microservice-based applications; MB uses genetic programming technique to calculate at design time the granularity of each microservice from the user stories in the “product backlog” or release planning; the genetic algorithm combined coupling, cohesion, granularity, semantic similarity, and complexity metrics to define the number of microservices, and the user stories associated with each microservice. MB decomposes the candidate microservices, allowing to analyze graphically the size of each microservice, as well as its complexity, dependencies, coupling, cohesion metrics, and the number of calls or requests between microservices. The resulting decomposition (number of microservices and their granularity) performed by MB shows less coupling, higher cohesion, less complexity, fewer user stories associated with each microservice, and fewer calls among microservices. MB was validated against three existing methods, using two state-of-the-art applications (Cargo Tracking and JPet-Store), and one real-life application (Foristom Conferences). The development team and/or architect can use metrics to identify the critical points of the system and determine at design time how the microservice-based application will be implemented.","F H Vera-Rivera,Eduard Puerto,Hernan Astudillo,Hernán Astudillo,Carlos Gaona,Carlos Mauricio Gaona",IEEE Access,2021
10.1109/scc.2018.00042,,,Object-Aware Identification of Microservices,"Microservices is an architectural style inspired by service-oriented computing that structures an application as a collection of cohesive and loosely coupled components, which implement business capabilities. One of today’s problems in designing microservice architectures is to decompose a system into cohesive, loosely coupled, and fine-grained microservices. Identification of microservices is usually performed intuitively, based on the experience of the system designers, however, if the functionalities of a system are highly interconnected, it is a challenging task to decompose the system into appropriate microservices. To tackle this challenge, we present a microservice identification method that decomposes a system using clustering technique. To this end, we model a system as a set of business processes and take two aspects of structural dependency and data object dependency of functionalities into account. Furthermore, we conduct a study to evaluate the effect of process characteristics on the accuracy of identification approaches.",Mohammad Javad Amiri,IEEE International Conference on Services Computing,2018
10.1109/icws.2017.61,,,Extraction of Microservices from Monolithic Software Architectures,"Driven by developments such as mobile computing, cloud computing infrastructure, DevOps and elastic computing, the microservice architectural style has emerged as a new alternative to the monolithic style for designing large software systems. Monolithic legacy applications in industry undergo a migration to microservice-oriented architectures. A key challenge in this context is the extraction of microservices from existing monolithic code bases. While informal migration patterns and techniques exist, there is a lack of formal models and automated support tools in that area. This paper tackles that challenge by presenting a formal microservice extraction model to allow algorithmic recommendation of microservice candidates in a refactoring and migration scenario. The formal model is implemented in a web-based prototype. A performance evaluation demonstrates that the presented approach provides adequate performance. The recommendation quality is evaluated quantitatively by custom microservice-specific metrics. The results show that the produced microservice candidates lower the average development team size down to half of the original size or lower. Furthermore, the size of recommended microservice conforms with microservice sizing reported by empirical surveys and the domain-specific redundancy among different microservices is kept at a low rate.","Genc Mazlami,Jürgen Cito,Philipp Leitner",,2017
10.1109/apsec.2017.53,,,From Monolith to Microservices: A Dataflow-Driven Approach,"Emerging from the agile practitioner communities, the microservice-oriented architecture emphasizes implementing and employing multiple small-scale and independently deployable microservices, rather than encapsulating all function capabilities into one monolithic application. Correspondingly, microservice-oriented decomposition, which has been identified to be an extremely challenging and complex task, plays a crucial and prerequisite role in developing microservice-based software systems. To address this challenge and reduce the complexity, we proposed a top-down analysis approach and developed a dataflow-driven decomposition algorithm. In brief, a three-step process is defined: first, engineers together with users conduct business requirement analysis and construct a purified while detailed dataflow diagram of the business logic; then, our algorithm combines the same operations with the same type of output data into a virtual abstract dataflow; finally, the algorithm extracts individual modules of ""operation and its output data"" from the virtual abstract dataflow to represent the identified microservice candidates. We have employed two use cases to demonstrate our microservice identification mechanism, as well as making comparisons with an existing microservice identification tool. The comparison and evaluation show that, our dataflow-driven identification mechanism is able to deliver more rational, objective, understandable and consistent microservice candidates, through a more rigorous and practical implementation procedure.","Rui Chen,Shanshan Li,Shanshan Li,Shanshan Li,Zheng Li",,2017
10.1109/rew.2016.026,,,Requirements Reconciliation for Scalable and Secure Microservice (De)composition,"Traditional monolithic services fail to scale efficiently when a certain task within the service is flooded. They also have a long software release cycle due to the system complexity. Microservices, as a new architectural style, are built upon the idea of breaking a large service into a set of single-responsibility (along with other properties) services that are communicating over network. In such a setting, services can scale more efficiently and release cycles become shorter thanks to the continuous deployment. Also, breaking a system into microservices is a daunting task. Normally, such design decisions are made by developers or architects with some intuitions. We argue that this approach only captures the interest of a narrowed set of stakeholders and thus fails to account system-wide requirements. In this work, we propose a conceptual methodology using which security and scalability requirements are incorporated in decomposing system into microservices. Using this methodology, requirements engineers can mindfully reconcile security and scalability requirements. This initiates architectural decisions (i.e. system decomposition) at requirements engineering phase and hence expands the system architects' view. We also examine our methodology by applying it to a fictional case study.","Mohsen Ahmadvand,Amjad Ibrahim,Amjad Ibrahim",,2016
10.1109/icws.2018.00034,,,Functionality-Oriented Microservice Extraction Based on Execution Trace Clustering,"The main task of microservice extraction is to find which software entities (e.g., methods, classes) should be grouped together from existing monolithic software as candidate microservices, responsible for specific functionalities and evolving independently. Current methods extract microservices by analyzing source code and following the assumption that ""classes with strong relation should be in the same service"", which originates from software structure analysis. We find that 1) many program behaviors cannot be explicitly reflected in the source code, and 2) the relation at code-level is not equivalent to the same functionality. Thus, we propose a functionality-oriented microservice extraction (FoME) method in this study by monitoring program dynamic behavior and clustering execution traces. Instead of source code analysis, the execution traces of a program are applied to group source code entities that are dedicated to the same functionality. We also construct a systematic measurement of microservice by integrating five complementary metrics of service cohesion and coupling. These metrics measure Functional Independence of microservices. That is, it qualifies whether a microservices can have its own responsibilities independently. In the experiment, our method is compared with three state-of-the-art methods on four open-source projects. The microservice candidates generated using our method present similar functional cohesion to the services produced using the other methods, but have considerably looser coupling measurements (dramatically reducing measurements of IRN and OPN).","Wuxia Jin,Ting Liu,Qinghua Zheng,Di Cui,Yuanfang Cai",,2018
10.1109/clei.2016.7833410,,,Towards the understanding and evolution of monolithic applications as microservices,"Nowadays, software development teams face the challenge of maintenance and evolution of large applications. This is known as modernization and comprises a process of understanding the existing application, and a process of transforming from the as-is state to the to-be state. In this article, we present an approach to modernize legacy applications into microservices. We propose a model-centered process to analyze and visualize the current structure and dependencies between the business layer and the data layer. Furthermore, we propose a modularization into clusters and microservices using four different diagrams. To validate our approach we have analyzed a JEE application with over 74566 LoC. The results show that the understanding is greatly improved through the diagrams proposed, and the modularization proposed constitutes the first step towards the automated modernization of the application.","Daniel Escobar,Diana Cardenas,Rolando Amarillo,Eddie Castro,Kelly Garcés,Carlos Parra,Carlos Parra,Carlos Parra,Rubby Casallas",,2016
10.1109/aims.2017.23,,,Migrating Monolithic Mobile Application to Microservice Architecture: An Experiment Report,"The microservice architecture (MSA) is an emerging cloud software system, which provides fine-grained, self-contained service components (microservices) used in the construction of complex software systems. DevOps techniques are commonly used to automate the process of development and operation through continuous integration and continuous deployment. Monitoring software systems created by DevOps, makes it possible for MSA to obtain the feedback necessary to improve the system quickly and easily. Nonetheless, systematic, SDLC-driven methods (SDLC: software development life cycle) are lacking to facilitate the migration of software systems from a traditional monolithic architecture to MSA. Therefore, this paper proposes a migration process based on SDLC, including all of the methods and tools required during design, development, and implementation. The mobile application, EasyLearn, was used as an illustrative example to demonstrate the efficacy of the proposed migration process. We believe that this paper could provide valuable references for other development teams seeking to facilitate the migration of existing applications to MSA.","Chen-Yuan Fan,Shang-Pin Ma",,2017
10.1007/978-3-319-99819-0_5,,,Re-architecting OO Software into Microservices,"Due to its tremendous advantages, microservice architectural style has become an essential element for the development of applications deployed on the cloud and for those adopting the DevOps practices. Migrating existing applications to microservices allow them to benefit from these advantages. Thus, in this paper, we propose an approach to automatically identify microservices from OO source code. The approach is based on a quality function that measures both the structural and behavioral validity of microservices and their data autonomy. Unlike existing works, ours is based on a well-defined function measuring the quality of microservices and use the source code as the main source of information.","Anfel Selmadji,Abdelhak-Djamel Seriai,Hinde Lilia Bouziane,Christophe Dony,Rahina Oumarou Mahamane",,2018
,,,Towards a Technique for Extracting Microservices from Monolithic Enterprise Systems.,"The idea behind microservices architecture is to develop a single large, complex, application as a suite of small, cohesive, independent services. On the other way, monolithic systems get larger over the time, deviating from the intended architecture, and becoming tough, risky, and expensive to evolve. This paper describes a technique to identify and define microservices on a monolithic enterprise system. As the major contribution, our evaluation demonstrate that our approach could identify good candidates to become microservices on a 750 KLOC banking system, which reduced the size of the original system and took the benefits of microservices architecture, such as services being developed and deployed independently, and technology independence.","Alessandra Levcovitz,Ricardo Terra,Marco Tulio Valente",arXiv: Software Engineering,2016
10.1007/978-3-319-99933-3_4,,,Identifying Microservices Using Functional Decomposition,"The microservices architectural style is rising fast, and many companies use this style to structure their systems. A big challenge in designing this architecture is to find an appropriate partition of the system into microservices. Microservices are usually designed intuitively, based on the experience of the designers. We describe a systematic approach to identify microservices in early design phase which is based on the specification of the system’s functional requirements and that uses functional decomposition. To evaluate our approach, we have compared microservices implementations by three independent teams to the decomposition provided by our approach. The evaluation results show that our decomposition is comparable to manual design, yet within a much shorter time frame.","Shmuel S. Tyszberowicz,Robert Heinrich,Bo Liu,Zhiming Liu,Zhiming Liu,Zhiming Liu",,2018
10.1109/tse.2019.2910531,,,Service Candidate Identification from Monolithic Systems Based on Execution Traces,"Monolithic systems increasingly suffer from maintainability and scalability issues as they grow in functionality, size, and complexity. It is widely believed that (micro)service-based architectures can alleviate these problems as each service is supposed to have the following characteristics: clearly defined functionality, sufficient modularity, and the ability to evolve independently. Industrial practices show that service extraction from a legacy monolithic system is labor-intensive and complex. Existing work on service candidate identification aims to group entities of a monolithic system into potential service candidates, but this process has two major challenges: first, it is difficult to extract service candidates with consistent quality; second, it is hard to evaluate the identified service candidates regarding the above three characteristics. To address these challenges, this paper proposes the Functionality-oriented Service Candidate Identification (FoSCI) framework to identify service candidates from a monolithic system. Our approach is to record the monolith's execution traces, and extract services candidates using a search-based functional atom grouping algorithm. We also contribute a comprehensive service candidate evaluation suite that uses interface information, structural/conceptual dependency, and commit history. This evaluation system consists of 8 metrics, measuring functionality, modularity, and evolvability respectively of identified service candidates. We compare FoSCI with three existing methods, using 6 widely-used open-source projects as our evaluation subjects. Our results show that FoSCI outperforms existing methods in most measures.","Wuxia Jin,Ting Liu,Yuanfang Cai,Rick Kazman,Ran Mo,Qinghua Zheng",IEEE Transactions on Software Engineering,2019
10.1007/978-3-030-29983-5_3,,,From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts,"Microservices have become the software architecture of choice for business applications. Initially originated at Netflix and Amazon, they result from the need to partition, both, software development teams and executing components, to, respectively, foster agile development and horizontal scalability. Currently, there is a large number of monolith applications that are being migrated to a microservices architecture. This article proposes the identification of business applications transactional contexts for the design of microservices. Therefore, the emphasis is to drive the aggregation of domain entities by the transactional contexts where they are executed, instead of by their domain structural inter-relationships. Additionally, we propose a complete workflow for the identification of microservices together with a set of tools that assist the developers on this process. The comparison of our approach with another software architecture tool and with an expert decomposition in two case studies revealed high precision values, which reflects that accurate service candidates are produced, while providing visualization perspectives facilitates the analysis of the impact of the decomposition on the application business logic.","Luís Miguel Nunes,Luís Nunes,Luis M. Nunes,Nuno C. Santos,Nuno Santos,Nuno C. Santos,Ana Maria Silva,António Rito Silva",,2019
10.1145/3234152.3234195,,,An automatic extraction approach: transition to microservices architecture from monolithic application,"Microservice architecture has been introduced as a new alternative to the monolithic architecture. It has several benefits like scalability, reliability, increase in agility and productivity, resilience to failure, ease of deployment and maintenance, and decrease in time to market. Therefore, software companies have showed a tendency to transform architecture of their legacy applications from monoliths to microservice architecture. In this transformation process, software development teams face the challenge of migration of large applications to the new architecture, where understanding the current application and reusing existing code base are important. In this paper, we propose a new approach to transform existing applications into microservices using code repositories. We use evolutionary and static code coupling information, and the graph clustering methodology, in order to automatically extract microservices from monoliths. In experimental analysis, we investigate two software projects and our approach reach up to 89% of success rate by comparing extracted microservices with the actual results.","Sinan Eski,Feza Buzluca",,2018
10.5220/0007755901530164,,,From Monolithic Systems to Microservices: A Decomposition Framework based on Process Mining.,,"Davide Taibi,Kari Systä,Kari Systä",,2019
10.1016/j.jss.2019.07.008,,,A dataflow-driven approach to identifying microservices from monolithic applications,"Abstract   Microservices architecture emphasizes employing multiple small-scale and independently deployable microservices, rather than encapsulating all function capabilities into one monolith. Correspondingly, microservice-oriented decomposition, which has been identified to be an extremely challenging task, plays a crucial and prerequisite role in developing microservice-based systems. To address the challenges in such a task, we propose a dataflow-driven semi-automatic decomposition approach. In particular, a four-step decomposition procedure is defined: (1) conduct the business requirement analysis to generate use case and business logic specification; (2) construct the fine-grained Data Flow Diagrams (DFD) and the process-datastore version of DFD (DFDPS) representing the business logics; (3) extract the dependencies between processes and datastores into decomposable sentence sets; and (4) identify candidate microservices by clustering processes and their closely related datastores into individual modules from the decomposable sentence sets. To validate this microservice-oriented decomposition approach, we performed a case study on Cargo Tracking System that is a typical case decomposed by other microservices identification methods (Service Cutter and API Analysis), and made comparisons in terms of specific coupling and cohesion metrics. The results show that the proposed dataflow-driven decomposition approach can recommend microservice candidates with sound coupling and cohesion through a rigorous and easy-to-operate implementation with semi-automatic support.","Shanshan Li,Shanshan Li,Shanshan Li,He Zhang,He Zhang,Zijia Jia,Zheng Li,Zheng Li,Cheng Zhang,Cheng Zhang,Cheng Zhang,Jiaqi Li,Qiuya Gao,Jidong Ge,Zhihao Shan",Journal of Systems and Software,2019
10.1109/sccc49216.2019.8966423,,,Migrating from monolithic architecture to microservices: A Rapid Review,"Microservices architecture has become enormously popular because traditional monolithic architectures no longer meet the needs of scalability and rapid development cycle, and the success of some large companies in building and deploying services is a strong motivation for others to consider making the change. However, performing the migration process is not trivial. Most systems acquire too many dependencies between their modules, and thus can't be sensibly broken apart. It is for this reason that studies that provide information associated with the migration process to practitioners are necessary. This study gathers, organizes and analyzes 20 migration techniques proposed in the literature. Results show that most proposals use approaches based on design elements as input; 90% of the proposals were applied to object-oriented software (Java being the predominant programming language); And that the main challenge is to perform the database migration.","Francisco Ponce,Francisco Ponce,Francisco Ponce,Gaston Marquez,Hernán Astudillo",,2019
10.1109/icsa.2017.32,,,Microservice Ambients: An Architectural Meta-Modelling Approach for Microservice Granularity,"Isolating fine-grained business functionalities byboundaries into entities called microservices is a core activityunderlying microservitization. We define microservitization asthe paradigm shift towards microservices. Determining theoptimal microservice boundaries (i.e. microservice granularity) is among the key microservitization design decisions thatinfluence the Quality of Service (QoS) of the microservice applicationat runtime. In this paper, we provide an architecturecentricapproach to model this decision problem. We build onambients — a modelling approach that can explicitly capturefunctional boundaries and their adaptation. We extend the aspect-oriented architectural meta-modelling approach of ambients—AMBIENT-PRISMA — with microservice ambients. A microservice ambient is a modelling concept that treatsmicroservice boundaries as an adaptable first-class entity. Weuse a hypothetical online movie subscription-based systemto capture a microservitization scenario using our aspectorientedmodelling approach. The results show the ability ofmicroservice ambients to express the functional boundary of amicroservice, the concerns of each boundary, the relationshipsacross boundaries and the adaptations of these boundaries. Additionally, we evaluate the expressiveness and effectivenessof microservice ambients using criteria from ArchitectureDescription Language (ADL) classification frameworkssince microservice ambients essentially support architecturedescription for microservices. The evaluation focuses on thefundamental modelling constructs of microservice ambientsand how they support microservitization properties such asutility-driven design, tool heterogeneity and decentralised governance. The evaluation highlights how microservice ambientssupport analysis, evolution and mobility/location awarenesswhich are significant to quality-driven microservice granularityadaptation. The evaluation is general and irrespective of theparticular application domain and the business competenciesin that domain.","Sara Hassan,Nour Ali,Rami Bahsoon",,2017
